Type,Lat,Long,TotalTiime,StartDateTime,RoadName,Flag,temp,pressure,humidity,
Roadwork,1.329106372,103.6698018,0,-2190225805,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.35577984,103.6967341,0,-2190225985,Jalan Bahar,FALSE,303.18,1007,79,
Roadwork,1.329136051,103.912645,7,-2190226045,Bedok Reservoir Road,FALSE,303.18,1007,79,
Roadwork,1.320437337,103.875537,5,-2190226765,Aljunied West Flyover,FALSE,303.18,1007,79,
Roadwork,1.396425273,103.8572036,5,-2190227605,Seletar Expressway,FALSE,303.18,1007,79,
Roadwork,1.320249848,103.8254371,56,-2190227605,Stevens Road,FALSE,303.18,1007,79,
Roadwork,1.319694772,103.7362204,0,-2190228025,Penjuru Road,FALSE,303.18,1007,79,
Roadwork,1.319284656,103.763058,6,-2190229225,Clementi Avenue 6,FALSE,303.18,1007,79,
Roadwork,1.323376972,103.8264074,5,-2190229465,Whitley Road,FALSE,303.18,1007,79,
Roadwork,1.285157944,103.847654,5,-2190229585,Pickering Street,FALSE,303.18,1007,79,
Roadwork,1.291165341,103.8505866,0,-2190229645,North Bridge Road,FALSE,303.18,1007,79,
Roadwork,1.286085862,103.8537007,5,-2190229825,Fullerton Road,FALSE,303.18,1007,79,
Roadwork,1.305262819,103.8401001,6,-2190230305,Central Expressway,FALSE,303.18,1007,79,
Roadwork,1.327699248,103.9739681,0,-2190230545,East Coast Parkway,FALSE,303.18,1007,79,
Roadwork,1.331005464,103.9583507,0,-2190230905,Xilin Avenue,FALSE,303.18,1007,79,
Roadwork,1.361957615,103.9597541,65,-2190230965,Tampines Expressway,FALSE,303.18,1007,79,
Roadwork,1.323081072,103.8900796,6,-2190231445,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.320060947,103.9685654,0,-2190231685,East Coast Parkway,FALSE,303.18,1007,79,
Roadwork,1.27235202,103.8049909,8,-2190231685,West Coast Highway Viaduct,FALSE,303.18,1007,79,
Roadwork,1.323303622,103.8113651,86,-2190231745,Bukit Timah Road,FALSE,303.18,1007,79,
Roadwork,1.341641089,103.8039385,0,-2190232045,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.334286923,103.6964576,0,-2190232345,Pioneer Road North,FALSE,303.18,1007,79,
Roadwork,1.321571284,103.7526501,0,-2190232345,Ayer Rajah Expressway,FALSE,303.18,1007,79,
Roadwork,1.291487452,103.8548038,5,-2190232345,Stamford Road,FALSE,303.18,1007,79,
Roadwork,1.334808091,103.6963321,4,-2190232405,Upper Jurong Road,FALSE,303.18,1007,79,
Roadwork,1.341159216,103.9464189,54,-2190233665,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.398534562,103.9004916,0,-2190234565,Tampines Expressway,FALSE,303.18,1007,79,
Road Block,1.316105799,103.9621421,0,-2190239305,East Coast Park Service Road,FALSE,303.18,1007,79,
Roadwork,1.31080886,103.7341822,3,-2190239545,Penjuru Road,FALSE,303.18,1007,79,
Vehicle breakdown,1.325279092,103.7273179,4,-2190217345,Ayer Rajah Expressway,FALSE,303.18,1007,79,
Roadwork,1.349793916,103.9569743,0,-2190219385,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.330011517,103.6820056,34,-2190219445,Upper Jurong Road,FALSE,303.18,1007,79,
Roadwork,1.326866561,103.8302009,0,-2190225085,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.329106372,103.6698018,45,-2190225805,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.35577984,103.6967341,0,-2190225985,Jalan Bahar,FALSE,303.18,1007,79,
Roadwork,1.329136051,103.912645,0,-2190226045,Bedok Reservoir Road,FALSE,303.18,1007,79,
Roadwork,1.320437337,103.875537,0,-2190226765,Aljunied West Flyover,FALSE,303.18,1007,79,
Roadwork,1.396425273,103.8572036,0,-2190227605,Seletar Expressway,FALSE,303.18,1007,79,
Roadwork,1.320249848,103.8254371,34,-2190227605,Stevens Road,FALSE,303.18,1007,79,
Roadwork,1.319694772,103.7362204,5,-2190228025,Penjuru Road,FALSE,303.18,1007,79,
Roadwork,1.319284656,103.763058,0,-2190229225,Clementi Avenue 6,FALSE,303.18,1007,79,
Roadwork,1.323376972,103.8264074,0,-2190229465,Whitley Road,FALSE,303.18,1007,79,
Roadwork,1.285157944,103.847654,65,-2190229585,Pickering Street,FALSE,303.18,1007,79,
Roadwork,1.291165341,103.8505866,0,-2190229645,North Bridge Road,FALSE,303.18,1007,79,
Roadwork,1.286085862,103.8537007,34,-2190229825,Fullerton Road,FALSE,303.18,1007,79,
Roadwork,1.305262819,103.8401001,0,-2190230305,Central Expressway,FALSE,303.18,1007,79,
Roadwork,1.327699248,103.9739681,0,-2190230545,East Coast Parkway,FALSE,303.18,1007,79,
Roadwork,1.331005464,103.9583507,0,-2190230905,Xilin Avenue,FALSE,303.18,1007,79,
Roadwork,1.361957615,103.9597541,34,-2190230965,Tampines Expressway,FALSE,303.18,1007,79,
Roadwork,1.323081072,103.8900796,0,-2190231445,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.320060947,103.9685654,6,-2190231685,East Coast Parkway,FALSE,303.18,1007,79,
Roadwork,1.27235202,103.8049909,0,-2190231685,West Coast Highway Viaduct,FALSE,303.18,1007,79,
Roadwork,1.323303622,103.8113651,77,-2190231745,Bukit Timah Road,FALSE,303.18,1007,79,
Roadwork,1.341641089,103.8039385,7,-2190232045,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.334286923,103.6964576,0,-2190232345,Pioneer Road North,FALSE,303.18,1007,79,
Roadwork,1.321571284,103.7526501,0,-2190232345,Ayer Rajah Expressway,FALSE,303.18,1007,79,
Roadwork,1.291487452,103.8548038,7,-2190232345,Stamford Road,FALSE,303.18,1007,79,
Roadwork,1.334808091,103.6963321,8,-2190232405,Upper Jurong Road,FALSE,303.18,1007,79,
Roadwork,1.341159216,103.9464189,8,-2190233665,Pan Island Expressway,FALSE,303.18,1007,79,
Roadwork,1.398534562,103.9004916,0,-2190234565,Tampines Expressway,FALSE,303.18,1007,79,
Road Block,1.316105799,103.9621421,86,-2190239305,East Coast Park Service Road,FALSE,303.18,1007,79,
Roadwork,1.31080886,103.7341822,4,-2190239545,Penjuru Road,FALSE,303.18,1007,79,
Roadwork,1.31665,103.807,3,-2190239555,Farrer Road,FALSE,303.18,1007,79,10
Roadwork,1.31081,103.734,15,-2190239562,Penjuru Road,FALSE,303.18,1007,79,17
Roadwork,1.39643,103.857,15,-2190239569,Seletar Expressway,FALSE,303.19,1007,79,24
Accident,1.31931,103.854,50,-2190239576,Balestier Road,FALSE,303.19,1007,79,31
Heavy Traffic,1.39526,103.906,10,-2190239583,Tampines Expressway,FALSE,303.19,1007,79,38
Roadwork,1.31263,103.88,5,-2190239590,Lorong 19 Geylang,FALSE,303.19,1007,79,45
Roadwork,1.32066,103.825,5,-2190239597,Bukit Timah Road,FALSE,303.19,1007,79,52
Roadwork,1.358,103.701,5,-2190239604,Pan Island Expressway,FALSE,303.18,1007,79,59
Roadwork,1.34666,103.691,5,-2190239611,Jurong West Street 81,FALSE,303.18,1007,79,66
Roadwork,1.32702,103.87,5,-2190239618,Pan Island Expressway,FALSE,303.19,1007,79,73
Roadwork,1.34979,103.957,5,-2190239625,Pan Island Expressway,FALSE,303.19,1008,70,80
Roadwork,1.33001,103.682,5,-2190239632,Upper Jurong Road,FALSE,303.18,1007,79,87
Roadwork,1.35578,103.697,5,-2190239639,Jalan Bahar,FALSE,303.18,1007,79,94
Roadwork,1.32044,103.876,5,-2190239646,Pan Island Expressway,FALSE,303.19,1007,79,101
Roadwork,1.31928,103.763,5,-2190239653,Clementi Avenue 6,FALSE,303.19,1007,79,108
Roadwork,1.32338,103.826,5,-2190239660,Whitley Road,FALSE,303.19,1007,79,115
Roadwork,1.28516,103.848,5,-2190239667,Pickering Street,FALSE,303.19,1007,79,122
Roadwork,1.28609,103.854,5,-2190239674,Fullerton Road,FALSE,303.19,1007,79,129
Roadwork,1.28009,103.839,5,-2190239681,Outram Road,FALSE,303.19,1007,79,136
Roadwork,1.30476,103.84,5,-2190239688,Central Expressway,FALSE,303.19,1007,79,143
Roadwork,1.33101,103.958,5,-2190239695,Xilin Avenue,FALSE,303.19,1008,70,150
Roadwork,1.36196,103.96,5,-2190239702,Tampines Expressway,FALSE,303.19,1008,70,157
Roadwork,1.32308,103.89,5,-2190239709,Pan Island Expressway,FALSE,303.19,1007,79,164
Roadwork,1.27235,103.805,5,-2190239716,West Coast Highway Viaduct,FALSE,303.19,1007,79,171
Roadwork,1.3233,103.811,5,-2190239723,Bukit Timah Road,FALSE,303.19,1007,79,178
Roadwork,1.34111,103.805,5,-2190239730,Pan Island Expressway,FALSE,303.19,1007,79,185
Roadwork,1.33429,103.696,5,-2190239737,Pioneer Road North,FALSE,303.18,1007,79,192
Roadwork,1.32157,103.753,5,-2190239744,Ayer Rajah Expressway,FALSE,303.19,1007,79,199
Roadwork,1.29149,103.855,5,-2190239751,Stamford Road,FALSE,303.19,1007,79,206
Roadwork,1.33481,103.696,5,-2190239758,Upper Jurong Road,FALSE,303.18,1007,79,213
Roadwork,1.31665,103.807,5,-2190239765,Farrer Road,FALSE,303.19,1007,79,220
Roadwork,1.31081,103.734,5,-2190239772,Penjuru Road,FALSE,303.18,1007,79,227
Accident,1.31931,103.854,200,-2190239779,Balestier Road,FALSE,303.19,1007,79,234
Heavy Traffic,1.39526,103.906,100,-2190239786,Tampines Expressway,FALSE,303.19,1007,79,241
Roadwork,1.31263,103.88,5,-2190239793,Lorong 19 Geylang,FALSE,303.19,1007,79,248
Roadwork,1.32066,103.825,5,-2190239800,Bukit Timah Road,FALSE,303.19,1007,79,255
Roadwork,1.358,103.701,5,-2190239807,Pan Island Expressway,FALSE,303.18,1007,79,262
Roadwork,1.34666,103.691,5,-2190239814,Jurong West Street 81,FALSE,303.18,1007,79,269
Roadwork,1.32702,103.87,5,-2190239821,Pan Island Expressway,FALSE,303.19,1007,79,276
Roadwork,1.34979,103.957,5,-2190239828,Pan Island Expressway,FALSE,303.19,1008,70,283
Roadwork,1.33001,103.682,5,-2190239835,Upper Jurong Road,FALSE,303.18,1007,79,290
Roadwork,1.35578,103.697,5,-2190239842,Jalan Bahar,FALSE,303.18,1007,79,297
Roadwork,1.32044,103.876,5,-2190239849,Pan Island Expressway,FALSE,303.19,1007,79,304
Roadwork,1.31928,103.763,5,-2190239856,Clementi Avenue 6,FALSE,303.19,1007,79,311
Roadwork,1.32338,103.826,5,-2190239863,Whitley Road,FALSE,303.19,1007,79,318
Roadwork,1.28516,103.848,5,-2190239870,Pickering Street,FALSE,303.19,1007,79,325
Roadwork,1.28609,103.854,5,-2190239877,Fullerton Road,FALSE,303.19,1007,79,332
Roadwork,1.28009,103.839,5,-2190239884,Outram Road,FALSE,303.19,1007,79,339
Roadwork,1.30476,103.84,5,-2190239891,Central Expressway,FALSE,303.19,1007,79,346
Roadwork,1.33101,103.958,5,-2190239898,Xilin Avenue,FALSE,303.19,1008,70,353
Roadwork,1.36196,103.96,5,-2190239905,Tampines Expressway,FALSE,303.19,1008,70,360
Roadwork,1.32308,103.89,5,-2190239912,Pan Island Expressway,FALSE,303.19,1007,79,367
Roadwork,1.27235,103.805,5,-2190239919,West Coast Highway Viaduct,FALSE,303.19,1007,79,374
Roadwork,1.3233,103.811,5,-2190239926,Bukit Timah Road,FALSE,303.19,1007,79,381
Roadwork,1.34111,103.805,5,-2190239933,Pan Island Expressway,FALSE,303.19,1007,79,388
